min,max,ave_km,trips
0,2,1.261732649,321.8256878
2,6,3.537951433,363.6830589
6,12,8.464809801,160.7313792
12,20,14.96525298,47.31888035
20,31,25.37111866,16.61294407
31,43,37.0139,1.23544109
