min,max,ave_km,trips
0,2,1.264324914,1251.890592
2,6,3.44182499,975.2410014
6,12,7.89804846,187.6780937
12,20,14.91621797,41.97355745
20,31,22.5302,1.955567672
31,43,37.55033333,2.91467866
43,58,46.6697,3.048814461
