min,max,ave_km,trips
0,2,1.262631916,331.0980402
2,6,3.496160375,350.7785446
6,12,8.405239479,135.6830574
12,20,14.66279829,29.73132909
20,31,24.1395,3.287863039
31,43,32.186,1.011539847
