min,max,ave_km,trips
0,2,0.830659877,50307.38195
2,5,3.063002717,9980.235227
5,11,7.061627903,1343.698365
11,18,13.29997525,155.4973967
18,27,20.88921728,32.83697708
27,38,30.8583275,7.667163729
38,103,85.2929,1.176146502
