min,max,ave_km,trips
0,2,1.264489782,2420.131061
2,6,3.226820526,2003.251227
6,12,7.889684116,165.4744703
12,20,13.51812,10.23364359
20,31,22.5302,2.596883416
31,58,46.6697,1.395804076
