min,max,ave_km,trips
0,2,1.160660001,453.2008991
2,6,3.6750137,342.6504209
6,12,7.96490211,138.5178752
12,20,15.22873973,34.12383921
20,31,23.92345581,10.66148476
31,43,32.186,5.58263098
43,58,56.3255,0
58,117,98.1673,0
