min,max,ave_km,trips
0,2,1.29998735,1741.657712
2,6,3.447014882,1846.594412
6,12,7.896537741,487.4923482
12,20,15.06433628,71.15674116
20,31,24.31657514,42.0837281
31,43,34.76360253,8.355778831
43,58,50.42473333,0
58,75,65.9813,0
75,200,199.5532,0
