min,max,ave_km,trips
0,2,1.307244589,4078.939608
2,6,3.7087968,8219.307645
6,12,8.158646926,3732.953995
12,20,14.51174958,966.5301057
20,31,24.12327165,164.3456145
31,43,36.29650091,37.53351706
43,58,46.78153122,7.034976265
