min,max,ave_km,trips
0,2,1.238248569,1441.663803
2,6,3.648990373,2449.281379
6,12,8.370397783,1375.851188
12,20,15.05694563,832.9226548
20,31,24.33188512,422.8081341
31,43,35.97820737,181.7159945
43,58,50.71535089,0
58,75,63.54823664,0
75,95,81.70566218,0
95,117,111.0417,0
117,142,119.0882,0
142,200,178.6323,0
