min,max,ave_km,trips
0,2,1.116257968,255.4379313
2,6,3.135826914,185.4738045
6,12,7.464247492,56.54809163
12,20,14.78034685,11.11303922
20,31,26.19924291,5.887425235
31,43,37.0139,1.972279305
