min,max,ave_km,trips
0,2,1.179868927,2971.378752
2,6,3.301934147,1785.886992
6,12,7.739837271,259.9233922
12,20,14.33770048,32.47885664
20,31,26.23159,5.083371438
31,43,40.2325,1.857579935
