min,max,ave_km,trips
0,2,0.919898062,154814.8314
2,5,2.870792278,33981.02567
5,11,6.833690961,1896.740379
11,18,13.1290634,0
18,27,21.18906578,0
27,38,30.5767,0
38,150,149.6649,0
