lsoa_int_zone_id,msoa_zone_id,lsoa_int_to_msoa,msoa_to_lsoa_int
E01032258,E02006731,1,0.327740636
E01032256,E02006731,1,0.272633897
E01032257,E02006731,1,0.290566912
E01032260,E02006731,1,0.109058555
E01033649,E02001884,1,0.113088351
E01009198,E02001884,1,0.408672128
E01009197,E02001884,1,0.182351374
E01033647,E02001884,1,0.113695541
E01009195,E02001884,1,0.182192606
E01031183,E02006509,1,0.65171334
E01031186,E02006509,1,0.022778633
E01031185,E02006509,1,0.020766933
E01031184,E02006509,1,0.304741094
E01010055,E02002070,1,0.130525956
E01010056,E02002070,1,0.208662086
E01010060,E02002070,1,0.200676236
E01010054,E02002070,1,0.314977261
E01010057,E02002070,1,0.14515846
E01032259,E02006728,1,0.090167158
E01032271,E02006728,1,0.53963644
E01032270,E02006728,1,0.109649037
E01032272,E02006728,1,0.145129649
E01032269,E02006728,1,0.115417716
E01032373,E02006766,1,0.105223388
E01032348,E02006766,1,0.092243277
E01032372,E02006766,1,0.318524862
E01032347,E02006766,1,0.089515678
E01032413,E02006766,1,0.161670439
E01032412,E02006766,1,0.232822356
E01032476,E02006774,1,0.159771416
E01032478,E02006774,1,0.161262092
E01032477,E02006774,1,0.321498783
E01032474,E02006774,1,0.135499257
E01032475,E02006774,1,0.221968451
E01009410,E02001852,1,0.355555705
E01009126,E02001852,1,0.224724081
E01009408,E02001852,1,0.216169818
E01009409,E02001852,1,0.203550396
E01033621,E02001861,1,0.331503487
E01009059,E02001861,1,0.134809535
E01009057,E02001861,1,0.15750374
E01009060,E02001861,1,0.117420002
E01009050,E02001861,1,0.258763236
E01009087,E02001868,1,0.172339282
E01009089,E02001868,1,0.202341167
E01009085,E02001868,1,0.173511954
E01009084,E02001868,1,0.143549008
E01009090,E02001868,1,0.308258588
E01032224,E02006724,1,0.379504896
E01032239,E02006724,1,0.143787996
E01032262,E02006724,1,0.332290108
E01032225,E02006724,1,0.144417
E01032170,E02006698,1,0.431291782
E01032171,E02006698,1,0.057661189
E01032126,E02006698,1,0.429955871
E01032172,E02006698,1,0.081091157
E01032354,E02006748,1,0.300764104
E01032387,E02006748,1,0.097152009
E01032386,E02006748,1,0.139181117
E01032401,E02006748,1,0.46290277
E01032296,E02006734,1,0.059266398
E01032297,E02006734,1,0.560714178
E01032299,E02006734,1,0.074759772
E01032300,E02006734,1,0.151494642
E01032298,E02006734,1,0.153765011
E01010023,E02002079,1,0.161044822
E01010022,E02002079,1,0.204952935
E01010001,E02002079,1,0.174607619
E01010025,E02002079,1,0.359597873
E01010028,E02002079,1,0.099796751
E01009877,E02002019,1,0.115282394
E01009876,E02002019,1,0.133745095
E01009872,E02002019,1,0.085428575
E01009873,E02002019,1,0.176153813
E01009874,E02002019,1,0.489390124
E01009502,E02001927,1,0.159153351
E01009503,E02001927,1,0.163858489
E01009505,E02001927,1,0.221920749
E01008924,E02001927,1,0.270485928
E01009501,E02001927,1,0.184581483
E01009937,E02002074,1,0.152533827
E01009939,E02002074,1,0.280814067
E01009941,E02002074,1,0.185261107
E01009940,E02002074,1,0.168795961
E01009942,E02002074,1,0.212595038
E01009025,E02001929,1,0.128560402
E01009019,E02001929,1,0.228370524
E01009021,E02001929,1,0.17422076
E01009020,E02001929,1,0.151213376
E01009033,E02001929,1,0.167525607
E01009024,E02001929,1,0.150109331
E01009199,E02001878,1,0.270394391
E01033644,E02001878,1,0.287063344
E01009192,E02001878,1,0.091871409
E01009204,E02001878,1,0.350670856
E01009808,E02002042,1,0.298055235
E01009807,E02002042,1,0.142898011
E01009812,E02002042,1,0.146831018
E01009810,E02002042,1,0.33004582
E01009811,E02002042,1,0.082169916
E01032315,E02006739,1,0.31741641
E01032316,E02006739,1,0.291027151
E01032314,E02006739,1,0.154408656
E01032317,E02006739,1,0.237147783
E01009911,E02002020,1,0.147336115
E01009914,E02002020,1,0.121801985
E01009916,E02002020,1,0.155203276
E01009915,E02002020,1,0.208928878
E01009913,E02002020,1,0.228304951
E01009912,E02002020,1,0.138424796
E01032237,E02006726,1,0.294814012
E01032238,E02006726,1,0.361701918
E01032236,E02006726,1,0.162297721
E01032264,E02006726,1,0.18118635
E01032339,E02006741,1,0.446519713
E01032337,E02006741,1,0.335048587
E01032338,E02006741,1,0.218431701
E01009242,E02001850,1,0.303268116
E01009237,E02001850,1,0.128206846
E01009241,E02001850,1,0.172066628
E01009238,E02001850,1,0.17921729
E01009240,E02001850,1,0.217241121
E01008975,E02001944,1,0.181659988
E01008972,E02001944,1,0.264727862
E01008973,E02001944,1,0.202437254
E01008974,E02001944,1,0.351174896
E01032218,E02006719,1,0.633380781
E01032210,E02006719,1,0.024676892
E01032209,E02006719,1,0.096444311
E01032208,E02006719,1,0.076726711
E01032219,E02006719,1,0.168771306
E01032334,E02006736,1,0.122176027
E01032330,E02006736,1,0.307325374
E01032336,E02006736,1,0.292455968
E01032335,E02006736,1,0.278042631
E01032302,E02006738,1,0.105774459
E01032310,E02006738,1,0.175668328
E01032301,E02006738,1,0.200148691
E01032313,E02006738,1,0.171839722
E01032311,E02006738,1,0.181930369
E01032333,E02006738,1,0.164638431
E01009203,E02001869,1,0.337977342
E01009202,E02001869,1,0.339090995
E01009201,E02001869,1,0.322931663
E01009273,E02001860,1,0.162683252
E01009270,E02001860,1,0.227712589
E01009271,E02001860,1,0.129724917
E01009266,E02001860,1,0.19098511
E01009269,E02001860,1,0.288894132
E01009866,E02002024,1,0.142090924
E01009864,E02002024,1,0.132464207
E01009865,E02002024,1,0.165494322
E01009867,E02002024,1,0.302748698
E01009878,E02002024,1,0.25720185
E01010136,E02002092,1,0.153440217
E01010160,E02002092,1,0.204795681
E01010137,E02002092,1,0.153271447
E01010158,E02002092,1,0.237547724
E01010161,E02002092,1,0.250944931
E01029651,E02006187,1,0.369626969
E01029649,E02006187,1,0.019466594
E01029653,E02006187,1,0.020327344
E01029650,E02006187,1,0.244728331
E01029652,E02006187,1,0.345850762
E01009757,E02002005,1,0.521717308
E01009759,E02002005,1,0.080387567
E01009756,E02002005,1,0.077172221
E01033187,E02002005,1,0.265445097
E01009762,E02002005,1,0.055277807
E01032198,E02006720,1,0.629834533
E01032200,E02006720,1,0.285346074
E01032215,E02006720,1,0.009396918
E01032216,E02006720,1,0.075422476
E01032417,E02006754,1,0.285971553
E01032395,E02006754,1,0.364347538
E01032346,E02006754,1,0.111308855
E01032345,E02006754,1,0.238372054
E01009295,E02001925,1,0.16684735
E01009281,E02001925,1,0.310684674
E01009292,E02001925,1,0.169620285
E01009294,E02001925,1,0.352847691
E01032384,E02006762,1,0.038017547
E01032396,E02006762,1,0.127807524
E01032376,E02006762,1,0.225780173
E01032385,E02006762,1,0.608394756
E01009488,E02001877,1,0.232712091
E01009483,E02001877,1,0.262953549
E01009194,E02001877,1,0.27712196
E01009489,E02001877,1,0.112462209
E01009491,E02001877,1,0.11475019
E01032453,E02006772,1,0.141062793
E01032452,E02006772,1,0.347313868
E01032451,E02006772,1,0.270668432
E01032454,E02006772,1,0.240954906
E01032148,E02006703,1,0.444917884
E01032151,E02006703,1,0.134147478
E01032150,E02006703,1,0.198555964
E01032153,E02006703,1,0.125408991
E01032155,E02006703,1,0.096969682
E01032381,E02006764,1,0.341006326
E01032398,E02006764,1,0.144840654
E01032397,E02006764,1,0.51415302
E01032202,E02006716,1,0.133036508
E01032201,E02006716,1,0.543873844
E01032204,E02006716,1,0.115226216
E01032203,E02006716,1,0.207863432
E01032356,E02006756,1,0.019631159
E01032402,E02006756,1,0.022686159
E01032403,E02006756,1,0.269813187
E01032355,E02006756,1,0.687869495
E01008982,E02001905,1,0.096562669
E01009283,E02001905,1,0.081823811
E01033631,E02001905,1,0.676753479
E01008992,E02001905,1,0.144860041
E01008969,E02001943,1,0.259308009
E01008971,E02001943,1,0.301070967
E01008942,E02001943,1,0.146340912
E01008943,E02001943,1,0.293280112
E01032149,E02006701,1,0.105533358
E01032142,E02006701,1,0.107432188
E01032144,E02006701,1,0.25684314
E01032143,E02006701,1,0.530191314
E01008954,E02001939,1,0.29928023
E01008958,E02001939,1,0.190466768
E01009493,E02001939,1,0.194526533
E01008950,E02001939,1,0.315726469
E01031239,E02006506,1,0.77177023
