lsoa_zone_id,msoa_zone_id,lsoa_to_msoa,msoa_to_lsoa
E01018923,E02003940,1,0.212810925
E01018944,E02003940,1,0.192489026
E01018945,E02003940,1,0.206958218
E01018926,E02003940,1,0.387741831
E01019070,E02003958,1,0.2585796
E01019071,E02003958,1,0.211272641
E01019069,E02003958,1,0.152287893
E01019072,E02003958,1,0.187202097
E01019073,E02003958,1,0.190657769
E01018917,E02003921,1,0.226756623
E01018919,E02003921,1,0.237123581
E01018916,E02003921,1,0.234490703
E01018918,E02003921,1,0.301629093
E01018903,E02003930,1,0.216115317
E01018902,E02003930,1,0.123509281
E01018920,E02003930,1,0.216530125
E01018881,E02003930,1,0.21196723
E01018904,E02003930,1,0.231878046
E01018820,E02003911,1,0.215444444
E01018817,E02003911,1,0.230666667
E01018821,E02003911,1,0.183777778
E01018816,E02003911,1,0.181333333
E01018818,E02003911,1,0.188777778
E01018761,E02003901,1,0.194383331
E01018760,E02003901,1,0.166299987
E01018766,E02003901,1,0.235537725
E01018774,E02003901,1,0.204348389
E01018759,E02003901,1,0.199430568
E01018775,E02003904,1,0.267608436
E01018776,E02003904,1,0.192996419
E01018762,E02003904,1,0.223637087
E01018773,E02003904,1,0.315758058
E01018835,E02003914,1,0.25377461
E01018837,E02003914,1,0.300640174
E01018834,E02003914,1,0.241212707
E01018836,E02003914,1,0.204372509
E01018845,E02003912,1,0.210242925
E01018850,E02003912,1,0.173804157
E01018846,E02003912,1,0.175056349
E01018848,E02003912,1,0.216128224
E01018849,E02003912,1,0.224768345
E01018758,E02003895,1,0.305390589
E01018778,E02003895,1,0.203403381
E01018768,E02003895,1,0.234353586
E01018769,E02003895,1,0.256852444
E01019029,E02003954,1,0.202693418
E01019028,E02003954,1,0.311392057
E01019030,E02003954,1,0.26398241
E01019031,E02003954,1,0.221932115
E01018913,E02003920,1,0.238714518
E01018912,E02003920,1,0.214830561
E01018915,E02003920,1,0.290734025
E01018914,E02003920,1,0.255720895
E01018940,E02003933,1,0.231169196
E01018941,E02003933,1,0.234120292
E01018969,E02003933,1,0.317172569
E01018942,E02003933,1,0.217537943
E01018803,E02003916,1,0.264272689
E01018804,E02003916,1,0.302286436
E01018805,E02003916,1,0.202412681
E01018806,E02003916,1,0.231028195
E01018931,E02003942,1,0.146869883
E01018929,E02003942,1,0.180375362
E01018930,E02003942,1,0.206953017
E01018927,E02003942,1,0.232774909
E01018928,E02003942,1,0.23302683
E01018957,E02003938,1,0.200483435
E01018954,E02003938,1,0.224655197
E01018955,E02003938,1,0.243992606
E01018958,E02003938,1,0.169202332
E01018956,E02003938,1,0.16166643
E01018854,E02003908,1,0.173591213
E01018853,E02003908,1,0.327483286
E01018823,E02003908,1,0.179083095
E01018824,E02003908,1,0.319842407
E01018787,E02003897,1,0.302551204
E01018796,E02003897,1,0.213438735
E01018764,E02003897,1,0.262306863
E01018795,E02003897,1,0.221703198
E01018938,E02003931,1,0.15841491
E01018959,E02003931,1,0.137518825
E01018961,E02003931,1,0.144954819
E01018936,E02003931,1,0.158885542
E01018937,E02003931,1,0.196065512
E01018960,E02003931,1,0.204160392
E01019052,E02003956,1,0.263453201
E01019053,E02003956,1,0.280285641
E01019054,E02003956,1,0.259372609
E01019055,E02003956,1,0.196888549
E01019045,E02003962,1,0.378085992
E01019047,E02003962,1,0.217475728
E01019032,E02003962,1,0.193481276
E01019034,E02003962,1,0.210957004
E01018772,E02003896,1,0.293472674
E01018767,E02003896,1,0.266403975
E01018771,E02003896,1,0.225629604
E01018770,E02003896,1,0.214493747
E01018968,E02003934,1,0.364
E01033292,E02003934,1,0.226206897
E01033291,E02003934,1,0.236965517
E01018953,E02003934,1,0.172827586
E01018971,E02003939,1,0.296397695
E01018973,E02003939,1,0.204755043
E01018972,E02003939,1,0.28184438
E01018970,E02003939,1,0.217002882
E01018765,E02003898,1,0.223957566
E01018757,E02003898,1,0.314129954
E01018785,E02003898,1,0.298069839
E01018763,E02003898,1,0.16384264
E01018822,E02003909,1,0.128377084
E01018857,E02003909,1,0.124928147
E01018819,E02003909,1,0.142556045
E01018856,E02003909,1,0.130963786
E01018855,E02003909,1,0.338858019
E01018858,E02003909,1,0.134316919
E01018827,E02003913,1,0.265591575
E01018829,E02003913,1,0.232022379
E01018830,E02003913,1,0.260490374
E01018828,E02003913,1,0.241895672
E01018794,E02003899,1,0.276218076
E01018790,E02003899,1,0.227676146
E01018788,E02003899,1,0.26643724
E01018786,E02003899,1,0.229668538
E01019016,E02003961,1,0.197101743
E01019015,E02003961,1,0.149371707
E01019014,E02003961,1,0.143291447
E01019017,E02003961,1,0.280097284
E01019013,E02003961,1,0.230137819
E01018894,E02003922,1,0.230044737
E01018897,E02003922,1,0.22486461
E01018896,E02003922,1,0.167176831
E01018898,E02003922,1,0.15187191
E01018895,E02003922,1,0.226041912
E01018949,E02003935,1,0.137005518
E01018948,E02003935,1,0.164780698
E01018947,E02003935,1,0.363789395
E01018946,E02003935,1,0.146825026
E01018950,E02003935,1,0.187599364
E01018872,E02003925,1,0.180025356
