lsoa_zone_id,msoa_zone_id,lsoa_to_msoa,msoa_to_lsoa
E01014517,E02003061,1,0.241628494
E01014518,E02003057,1,0.223113814
E01014519,E02003057,1,0.227962317
E01014520,E02003057,1,0.399081669
E01014521,E02003057,1,0.1498422
E01014522,E02003061,1,0.273178441
E01014523,E02003049,1,0.18954261
E01014524,E02003049,1,0.101477648
E01014525,E02003049,1,0.059656983
E01014526,E02003049,1,0.516955748
E01014527,E02003049,1,0.132367012
E01014528,E02003046,1,0.276868475
E01014529,E02003046,1,0.102802783
E01014530,E02003046,1,0.167020829
E01014531,E02003046,1,0.187674156
E01014532,E02003046,1,0.078881133
E01014533,E02003054,1,0.120048462
E01014534,E02003054,1,0.183734375
E01014535,E02003054,1,0.185983879
E01014536,E02003054,1,0.510233284
E01014537,E02003046,1,0.186752624
E01014538,E02003043,1,0.093333643
E01014539,E02003036,1,0.199654822
E01014540,E02003043,1,0.287064977
E01014542,E02003043,1,0.200756697
E01014544,E02003041,1,0.486885644
E01014545,E02003041,1,0.225319309
E01014546,E02003041,1,0.134197015
E01014547,E02003041,1,0.153598032
E01014548,E02003045,1,0.284003175
E01014549,E02003045,1,0.162502596
E01014550,E02003045,1,0.358724582
E01014551,E02003037,1,0.179705718
E01014552,E02003037,1,0.220564161
E01014553,E02003037,1,0.197679337
E01014554,E02003037,1,0.19955776
E01014555,E02003045,1,0.194769646
E01014556,E02003037,1,0.202493024
E01014557,E02003033,1,0.242151781
E01014558,E02003033,1,0.167592729
E01014559,E02003033,1,0.277203576
E01014560,E02003033,1,0.186936429
E01014561,E02003036,1,0.281343191
E01014562,E02003033,1,0.126115485
E01014563,E02003036,1,0.175681988
E01014564,E02006888,1,0.309842789
E01014565,E02003040,1,0.100263736
E01014566,E02003040,1,0.102617822
E01014567,E02003040,1,0.248583231
E01014568,E02006890,1,0.197172143
E01014569,E02006890,1,0.165991118
E01014570,E02006890,1,0.272981186
E01014571,E02003023,1,0.148178318
E01014572,E02003030,1,0.140365788
E01014573,E02003030,1,0.277698393
E01014574,E02006890,1,0.363855554
E01014575,E02003030,1,0.310497187
E01014576,E02003030,1,0.271438632
E01014577,E02003023,1,0.228427513
E01014578,E02003055,1,0.291499021
E01014579,E02003056,1,0.29705467
E01014580,E02003056,1,0.255931448
E01014581,E02003056,1,0.217138323
E01014582,E02003056,1,0.10834065
E01014583,E02003055,1,0.210604737
E01014584,E02003056,1,0.12153491
E01014585,E02003055,1,0.153994786
E01014586,E02003023,1,0.343809937
E01014587,E02003023,1,0.279584233
E01014588,E02003024,1,0.322308664
E01014589,E02003024,1,0.135968785
E01014590,E02003024,1,0.19315321
E01014591,E02003024,1,0.183612564
E01014592,E02003024,1,0.164956776
E01014593,E02003062,1,0.257348807
E01014594,E02003059,1,0.221895367
E01014595,E02003062,1,0.187716934
E01014596,E02003062,1,0.245005308
E01014597,E02003062,1,0.309928951
E01014598,E02003059,1,0.430146037
E01014599,E02003059,1,0.179713227
E01014600,E02003059,1,0.168245369
E01014601,E02003012,1,0.12993449
E01014602,E02003012,1,0.120668102
E01014603,E02003012,1,0.144747155
E01014605,E02003012,1,0.086110237
E01014607,E02003058,1,0.392051798
E01014608,E02003058,1,0.149420795
E01014609,E02003058,1,0.093778295
E01014610,E02003058,1,0.080315745
E01014611,E02003063,1,0.365246514
E01014612,E02003063,1,0.147503015
E01014613,E02003058,1,0.0847557
E01014614,E02003058,1,0.199677667
E01014615,E02003022,1,0.340256532
E01014616,E02003017,1,0.274659526
E01014617,E02003022,1,0.217605352
E01014618,E02003022,1,0.25635289
E01014619,E02003028,1,0.233556439
E01014620,E02003022,1,0.185785225
E01014621,E02003028,1,0.113945975
E01014622,E02003032,1,0.163615392
E01014623,E02003032,1,0.231445034
E01014624,E02003029,1,0.309152078
E01014626,E02003032,1,0.420701923
E01014627,E02003032,1,0.184237652
E01014629,E02003029,1,0.254695631
E01014630,E02003016,1,0.251280697
E01014631,E02003015,1,0.319061838
