hybrid_zone_id,msoa_zone_id,hybrid_to_msoa,msoa_to_hybrid
E01009366,E02001910,1,0.230142285
E01009869,E02002031,1,0.250778561
E01009833,E02002031,1,0.244550074
E01009870,E02002031,1,0.247992132
E01009835,E02002031,1,0.256679233
E01009368,E02001903,1,0.188093981
E01033650,E02001903,1,0.348204857
E01009371,E02001903,1,0.239308342
E01009397,E02001903,1,0.224392819
E01009105,E02001851,1,0.18540763
E01009098,E02001851,1,0.225002781
E01009100,E02001851,1,0.226226226
E01009009,E02001851,1,0.167834501
E01009005,E02001851,1,0.195528862
E01033062,E02006709,1,0.288032207
E01033243,E02006709,1,0.204831036
E01033060,E02006709,1,0.242283762
E01032166,E02006709,1,0.264852995
E01009838,E02002036,1,0.24746481
E01009831,E02002036,1,0.217193885
E01009837,E02002036,1,0.239443015
E01009836,E02002036,1,0.29589829
E01032258,E02006731,1,0.257578444
E01032256,E02006731,1,0.240914731
E01032257,E02006731,1,0.24587839
E01032260,E02006731,1,0.255628435
E01033649,E02001884,1,0.196288295
E01009198,E02001884,1,0.187843676
E01009197,E02001884,1,0.178908091
E01033647,E02001884,1,0.157600157
E01009195,E02001884,1,0.27935978
E01031183,E02006509,1,0.264783614
E01031186,E02006509,1,0.261645193
E01031185,E02006509,1,0.222827882
E01031184,E02006509,1,0.25074331
E01010055,E02002070,1,0.193892191
E01010056,E02002070,1,0.180364829
E01010060,E02002070,1,0.210493954
E01010054,E02002070,1,0.211928674
E01010057,E02002070,1,0.203320353
E01032259,E02006728,1,0.189343211
E01032271,E02006728,1,0.199601083
E01032270,E02006728,1,0.197464026
E01032272,E02006728,1,0.177660635
E01032269,E02006728,1,0.235931044
E01032373,E02006766,1,0.165593613
E01032348,E02006766,1,0.166881277
E01032372,E02006766,1,0.182848313
E01032347,E02006766,1,0.171774401
E01032413,E02006766,1,0.152974504
E01032412,E02006766,1,0.159927891
E01032476,E02006774,1,0.181973684
E01032478,E02006774,1,0.206315789
E01032477,E02006774,1,0.157105263
E01032474,E02006774,1,0.223947368
E01032475,E02006774,1,0.230657895
E01009410,E02001852,1,0.272448838
E01009126,E02001852,1,0.203118474
E01009408,E02001852,1,0.248364193
E01009409,E02001852,1,0.276068495
E01033621,E02001861,1,0.295723385
E01009059,E02001861,1,0.164786169
E01009057,E02001861,1,0.191264786
E01009060,E02001861,1,0.159690628
E01009050,E02001861,1,0.188535032
E01009087,E02001868,1,0.172315187
E01009089,E02001868,1,0.182482525
E01009085,E02001868,1,0.226858716
E01009084,E02001868,1,0.203346749
E01009090,E02001868,1,0.214996823
E01032224,E02006724,1,0.263421419
E01032239,E02006724,1,0.282058414
E01032262,E02006724,1,0.293880389
E01032225,E02006724,1,0.160639777
E01032170,E02006698,1,0.212759463
E01032171,E02006698,1,0.227411477
E01032126,E02006698,1,0.306013431
E01032172,E02006698,1,0.253815629
E01032354,E02006748,1,0.370399272
E01032387,E02006748,1,0.216803225
E01032386,E02006748,1,0.18571986
E01032401,E02006748,1,0.227077643
E01032296,E02006734,1,0.198783213
E01032297,E02006734,1,0.199528185
E01032299,E02006734,1,0.188105289
E01032300,E02006734,1,0.201887261
E01032298,E02006734,1,0.211696052
E01010023,E02002079,1,0.213306307
E01010022,E02002079,1,0.177536664
E01010001,E02002079,1,0.22511029
E01010025,E02002079,1,0.19565995
E01010028,E02002079,1,0.188386789
E01009877,E02002019,1,0.205889756
E01009876,E02002019,1,0.202743519
E01009872,E02002019,1,0.189403473
E01009873,E02002019,1,0.188144979
E01009874,E02002019,1,0.213818273
E01009502,E02001927,1,0.193714645
E01009503,E02001927,1,0.198868636
E01009505,E02001927,1,0.225392835
E01008924,E02001927,1,0.183783784
E01009501,E02001927,1,0.198240101
E01009937,E02002074,1,0.197839961
E01009939,E02002074,1,0.221158567
E01009941,E02002074,1,0.188635248
E01009940,E02002074,1,0.189617084
E01009942,E02002074,1,0.202749141
E01009025,E02001929,1,0.151818452
E01009019,E02001929,1,0.167674165
E01009021,E02001929,1,0.16737687
E01009020,E02001929,1,0.148449113
E01009033,E02001929,1,0.191259538
E01009024,E02001929,1,0.173421861
E01009199,E02001878,1,0.17276357
E01033644,E02001878,1,0.331067228
E01009192,E02001878,1,0.285853027
E01009204,E02001878,1,0.210316176
E01009808,E02002042,1,0.16552901
E01009807,E02002042,1,0.226962457
E01009812,E02002042,1,0.186494393
E01009810,E02002042,1,0.232325695
E01009811,E02002042,1,0.188688445
E01032315,E02006739,1,0.372881356
E01032316,E02006739,1,0.186606846
E01032314,E02006739,1,0.190262546
E01032317,E02006739,1,0.250249252
E01009911,E02002020,1,0.139131328
E01009914,E02002020,1,0.137591128
E01009916,E02002020,1,0.187801622
E01009915,E02002020,1,0.175274669
E01009913,E02002020,1,0.155868159
E01009912,E02002020,1,0.204333094
E01032237,E02006726,1,0.225786456
E01032238,E02006726,1,0.214163955
E01032236,E02006726,1,0.290872462
E01032264,E02006726,1,0.269177127
E01032339,E02006741,1,0.275316456
E01032337,E02006741,1,0.394736842
E01032338,E02006741,1,0.329946702
E01009242,E02001850,1,0.248261559
E01009237,E02001850,1,0.181041845
E01009241,E02001850,1,0.214102721
E01009238,E02001850,1,0.159204587
E01009240,E02001850,1,0.197389289
E01008975,E02001944,1,0.187155289
E01008972,E02001944,1,0.226866038
E01008973,E02001944,1,0.236793725
E01008974,E02001944,1,0.349184949
E01032218,E02006719,1,0.211188811
E01032210,E02006719,1,0.144818818
E01032209,E02006719,1,0.225810553
E01032208,E02006719,1,0.208900191
E01032219,E02006719,1,0.209281627
E01032334,E02006736,1,0.347873501
E01032330,E02006736,1,0.178220907
E01032336,E02006736,1,0.233992834
E01032335,E02006736,1,0.239912759
E01032302,E02006738,1,0.159310728
E01032310,E02006738,1,0.152973874
E01032301,E02006738,1,0.168760422
E01032313,E02006738,1,0.142412451
E01032311,E02006738,1,0.158310172
E01032333,E02006738,1,0.218232351
E01009203,E02001869,1,0.489450845
E01009202,E02001869,1,0.248541074
E01009201,E02001869,1,0.26200808
E01009273,E02001860,1,0.179359355
E01009270,E02001860,1,0.24321171
E01009271,E02001860,1,0.186041578
E01009266,E02001860,1,0.207467119
E01009269,E02001860,1,0.183920238
E01009866,E02002024,1,0.188099365
E01009864,E02002024,1,0.186597343
E01009865,E02002024,1,0.17666089
E01009867,E02002024,1,0.205777008
E01009878,E02002024,1,0.242865396
E01010136,E02002092,1,0.174329502
E01010160,E02002092,1,0.21182266
E01010137,E02002092,1,0.19499179
E01010158,E02002092,1,0.21592775
E01010161,E02002092,1,0.202928298
E01029651,E02006187,1,0.208017633
E01029649,E02006187,1,0.161179226
E01029653,E02006187,1,0.173853148
E01029650,E02006187,1,0.212701474
E01029652,E02006187,1,0.244248519
E01009757,E02002005,1,0.205667669
E01009759,E02002005,1,0.129776728
E01009756,E02002005,1,0.156719622
E01033187,E02002005,1,0.359811078
E01009762,E02002005,1,0.148024903
E01032198,E02006720,1,0.295149201
E01032200,E02006720,1,0.336586056
